Date,Close
27/08/2018,5.169
28/08/2018,5.179
29/08/2018,5.185
30/08/2018,5.188
31/08/2018,5.172
03/09/2018,5.172
04/09/2018,5.202
05/09/2018,5.18
06/09/2018,5.213
07/09/2018,5.218
10/09/2018,5.202
11/09/2018,5.195
12/09/2018,5.159
13/09/2018,5.131
14/09/2018,5.067
17/09/2018,5.043
18/09/2018,5.104
19/09/2018,5.1
20/09/2018,5.099
21/09/2018,5.103
24/09/2018,4.961
25/09/2018,5.03
26/09/2018,5.029
27/09/2018,5.029
28/09/2018,5.028
01/10/2018,5.028
02/10/2018,5.028
03/10/2018,5.038
04/10/2018,5.028
05/10/2018,5.037
08/10/2018,5.026
09/10/2018,5.032
10/10/2018,5.075
11/10/2018,5.075
12/10/2018,5.073
15/10/2018,5.067
16/10/2018,5.067
17/10/2018,5.066
18/10/2018,5.094
19/10/2018,5.094
22/10/2018,5.094
23/10/2018,5.097
24/10/2018,5.13
25/10/2018,5.151
26/10/2018,5.158
29/10/2018,5.165
30/10/2018,5.183
31/10/2018,5.183
01/11/2018,5.182
02/11/2018,5.178
05/11/2018,5.171
06/11/2018,5.177
07/11/2018,5.174
08/11/2018,5.171
09/11/2018,5.176
12/11/2018,5.176
13/11/2018,5.189
14/11/2018,5.206
15/11/2018,5.19
16/11/2018,5.155
19/11/2018,5.198
20/11/2018,5.162
21/11/2018,5.176
22/11/2018,5.176
23/11/2018,5.191
26/11/2018,5.167
27/11/2018,5.162
28/11/2018,5.164
29/11/2018,5.161
30/11/2018,5.166
03/12/2018,5.166
04/12/2018,5.195
05/12/2018,5.214
06/12/2018,5.192
07/12/2018,5.191
10/12/2018,5.193
11/12/2018,5.193
12/12/2018,5.2
13/12/2018,5.193
14/12/2018,5.199
17/12/2018,5.199
18/12/2018,5.199
19/12/2018,5.199
20/12/2018,5.196
21/12/2018,5.177
24/12/2018,5.172
25/12/2018,5.172
26/12/2018,5.167
27/12/2018,5.16
28/12/2018,5.166
31/12/2018,5.166
01/01/2019,5.166
02/01/2019,5.171
03/01/2019,5.167
04/01/2019,5.167
07/01/2019,5.159
08/01/2019,5.046
09/01/2019,5.115
10/01/2019,5.022
11/01/2019,5
14/01/2019,4.988
15/01/2019,4.996
16/01/2019,4.952
17/01/2019,4.933
18/01/2019,4.943
21/01/2019,4.94
22/01/2019,4.929
23/01/2019,4.929
24/01/2019,4.908
25/01/2019,4.902
28/01/2019,4.9
29/01/2019,4.895
30/01/2019,4.9
31/01/2019,4.881
01/02/2019,4.868
04/02/2019,4.868
05/02/2019,4.868
06/02/2019,4.868
07/02/2019,4.868
08/02/2019,4.868
11/02/2019,4.834
12/02/2019,4.805
13/02/2019,4.782
14/02/2019,4.748
15/02/2019,4.696
18/02/2019,4.702
19/02/2019,4.705
20/02/2019,4.712
21/02/2019,4.711
22/02/2019,4.754
25/02/2019,4.762
26/02/2019,4.769
27/02/2019,4.76
28/02/2019,4.755
01/03/2019,4.762
04/03/2019,4.762
05/03/2019,4.768
06/03/2019,4.778
07/03/2019,4.786
08/03/2019,4.783
11/03/2019,4.795
12/03/2019,4.791
13/03/2019,4.786
14/03/2019,4.79
15/03/2019,4.794
18/03/2019,4.798
19/03/2019,4.799
20/03/2019,4.812
21/03/2019,4.836
22/03/2019,4.834
25/03/2019,4.833
26/03/2019,4.868
27/03/2019,4.851
28/03/2019,4.848
29/03/2019,4.828
01/04/2019,4.803
02/04/2019,4.807
03/04/2019,4.825
04/04/2019,4.813
05/04/2019,4.813
08/04/2019,4.813
09/04/2019,4.812
10/04/2019,4.815
11/04/2019,4.806
12/04/2019,4.796
15/04/2019,4.796
16/04/2019,4.787
17/04/2019,4.79
18/04/2019,4.78
19/04/2019,4.774
22/04/2019,4.754
23/04/2019,4.76
24/04/2019,4.764
25/04/2019,4.759
26/04/2019,4.764
29/04/2019,4.764
30/04/2019,4.764
01/05/2019,4.764
02/05/2019,4.761
03/05/2019,4.754
06/05/2019,4.776
07/05/2019,4.776
08/05/2019,4.773
09/05/2019,4.773
10/05/2019,4.77
13/05/2019,4.761
14/05/2019,4.757
15/05/2019,4.752
16/05/2019,4.741
17/05/2019,4.743
20/05/2019,4.743
21/05/2019,4.737
22/05/2019,4.738
23/05/2019,4.735
24/05/2019,4.729
27/05/2019,4.727
28/05/2019,4.722
29/05/2019,4.714
30/05/2019,4.708
31/05/2019,4.701
03/06/2019,4.682
04/06/2019,4.694
05/06/2019,4.693
06/06/2019,4.676
07/06/2019,4.659
10/06/2019,4.678
11/06/2019,4.669
12/06/2019,4.672
13/06/2019,4.679
14/06/2019,4.672
17/06/2019,4.66
18/06/2019,4.659
19/06/2019,4.668
20/06/2019,4.66
21/06/2019,4.657
24/06/2019,4.655
25/06/2019,4.653
26/06/2019,4.671
27/06/2019,4.659
28/06/2019,4.654
01/07/2019,4.668
02/07/2019,4.65
03/07/2019,4.652
04/07/2019,4.628
05/07/2019,4.613
08/07/2019,4.613
09/07/2019,4.613
10/07/2019,4.595
11/07/2019,4.541
12/07/2019,4.556
15/07/2019,4.539
16/07/2019,4.534
17/07/2019,4.52
18/07/2019,4.523
19/07/2019,4.488
22/07/2019,4.452
23/07/2019,4.469
24/07/2019,4.465
25/07/2019,4.438
26/07/2019,4.446
29/07/2019,4.447
30/07/2019,4.444
31/07/2019,4.404
01/08/2019,4.478
02/08/2019,4.449
05/08/2019,4.454
06/08/2019,4.464
07/08/2019,4.46
08/08/2019,4.469
09/08/2019,4.45
12/08/2019,4.455
13/08/2019,4.446
14/08/2019,4.411
15/08/2019,4.268
16/08/2019,4.26
19/08/2019,4.323
20/08/2019,4.332
21/08/2019,4.319
22/08/2019,4.261
23/08/2019,4.202
26/08/2019,4.24
27/08/2019,4.241
28/08/2019,4.217
29/08/2019,4.209
30/08/2019,4.162
02/09/2019,4.162
03/09/2019,4.172
04/09/2019,4.139
05/09/2019,4.087
06/09/2019,4.079
09/09/2019,4.075
10/09/2019,4.11
11/09/2019,4.12
12/09/2019,4.054
13/09/2019,3.984
16/09/2019,4.006
17/09/2019,4.049
18/09/2019,4.013
19/09/2019,4.041
20/09/2019,4.007
23/09/2019,4.043
24/09/2019,4.003
25/09/2019,4.01
26/09/2019,4.03
27/09/2019,4.05
30/09/2019,4.057
01/10/2019,4.026
02/10/2019,4
03/10/2019,4.016
04/10/2019,3.999
07/10/2019,3.993
08/10/2019,3.976
09/10/2019,3.96
10/10/2019,3.927
11/10/2019,3.919
14/10/2019,3.902
15/10/2019,3.879
16/10/2019,3.838
17/10/2019,3.746
18/10/2019,3.683
21/10/2019,3.648
22/10/2019,3.606
23/10/2019,3.547
24/10/2019,3.587
25/10/2019,3.688
28/10/2019,3.731
29/10/2019,3.637
30/10/2019,3.633
31/10/2019,3.649
01/11/2019,3.659
04/11/2019,3.737
05/11/2019,3.756
06/11/2019,3.745
07/11/2019,3.723
08/11/2019,3.728
11/11/2019,3.74
12/11/2019,3.757
13/11/2019,3.78
14/11/2019,3.699
15/11/2019,3.712
18/11/2019,3.664
19/11/2019,3.634
20/11/2019,3.681
21/11/2019,3.692
22/11/2019,3.683
25/11/2019,3.679
26/11/2019,3.707
27/11/2019,3.543
28/11/2019,3.539
29/11/2019,3.568
02/12/2019,3.545
03/12/2019,3.543
04/12/2019,3.542
05/12/2019,3.516
06/12/2019,3.503
09/12/2019,3.514
10/12/2019,3.515
11/12/2019,3.513
12/12/2019,3.52
13/12/2019,3.506
16/12/2019,3.51
17/12/2019,3.502
18/12/2019,3.508
19/12/2019,3.492
20/12/2019,3.489
23/12/2019,3.484
24/12/2019,3.456
25/12/2019,3.422
26/12/2019,3.375
27/12/2019,3.37
30/12/2019,3.386
31/12/2019,3.378
01/01/2020,3.328
02/01/2020,3.417
03/01/2020,3.375
06/01/2020,3.212
07/01/2020,3.169
08/01/2020,3.115
09/01/2020,3.078
10/01/2020,3.075
13/01/2020,3.068
14/01/2020,3.035
15/01/2020,2.923
16/01/2020,2.876
17/01/2020,2.846
20/01/2020,2.944
21/01/2020,3.072
22/01/2020,3.111
23/01/2020,3.056
24/01/2020,3.056
27/01/2020,3.056
29/01/2020,3.056
30/01/2020,3.144
31/01/2020,3.157
03/02/2020,3.328
04/02/2020,3.128
05/02/2020,3.068
06/02/2020,3.013
07/02/2020,3.046
10/02/2020,3.075
11/02/2020,3.072
12/02/2020,3.027
13/02/2020,3.09
14/02/2020,2.975
17/02/2020,2.823
18/02/2020,2.835
19/02/2020,2.85
20/02/2020,2.839
21/02/2020,2.877
24/02/2020,2.956
25/02/2020,2.88
26/02/2020,2.864
27/02/2020,2.897
28/02/2020,2.856
02/03/2020,2.806
03/03/2020,2.754
04/03/2020,2.556
05/03/2020,2.463
06/03/2020,2.34
09/03/2020,2.235
10/03/2020,2.338
11/03/2020,2.302
12/03/2020,2.414
13/03/2020,2.439
16/03/2020,2.424
17/03/2020,2.473
